privacy_level,accuracy,roc_auc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
no privacy,0.6298701298701299,0.7035185185185185,0.7471264367816092,0.65,0.6951871657754011,0.47761194029850745,0.5925925925925926,0.5289256198347108
moderate privacy,0.6493506493506493,0.6548148148148148,0.6825396825396826,0.86,0.7610619469026548,0.5,0.25925925925925924,0.34146341463414637
moderate privacy,0.5909090909090909,0.5468518518518518,0.6697247706422018,0.73,0.6985645933014354,0.4,0.3333333333333333,0.36363636363636365
moderate privacy,0.36363636363636365,0.47555555555555556,0.6666666666666666,0.04,0.07547169811320754,0.35135135135135137,0.9629629629629629,0.5148514851485149
strong privacy,0.5844155844155844,0.42592592592592593,0.640625,0.82,0.7192982456140351,0.3076923076923077,0.14814814814814814,0.2
strong privacy,0.43506493506493504,0.2581481481481481,0.5596330275229358,0.61,0.583732057416268,0.13333333333333333,0.1111111111111111,0.12121212121212122
strong privacy,0.35064935064935066,0.6474074074074074,0.0,0.0,0.0,0.35064935064935066,1.0,0.5192307692307693
